Opposing Team,IsHome,Points,Performance Index Rating,Two-point %,Three-point %,Free-throw %,Offensive rebounds,Defensive rebounds,Total rebounds,Assists,Steals,Blocks,Turnovers,Day,Month,Year,Date,target
Partizan Mozzart Bet Belgrade,1,89.0,105.0,45.8,51.4,71.4,9.0,23.0,32.0,24.0,10.0,3.0,13.0,1,11,2024,2024-11-01,1
LDLC ASVEL Villeurbanne,0,77.0,79.0,59.5,18.8,83.3,19.0,27.0,46.0,15.0,3.0,3.0,14.0,8,11,2024,2024-11-08,0
FC Bayern Munich,1,87.0,97.0,61.1,42.9,100.0,7.0,26.0,33.0,19.0,5.0,0.0,12.0,12,11,2024,2024-11-12,1
Zalgiris Kaunas,0,72.0,83.0,39.4,28.0,86.2,14.0,31.0,45.0,9.0,7.0,3.0,13.0,15,11,2024,2024-11-15,0
Virtus Segafredo Bologna,0,86.0,94.0,59.4,39.4,69.2,11.0,28.0,39.0,17.0,7.0,1.0,15.0,20,11,2024,2024-11-20,1
EA7 Emporio Armani Milan,1,85.0,83.0,47.2,40.0,78.9,9.0,23.0,32.0,17.0,5.0,2.0,13.0,29,11,2024,2024-11-29,0
Baskonia Vitoria-Gasteiz,0,76.0,67.0,51.5,33.3,66.7,12.0,22.0,34.0,13.0,5.0,1.0,13.0,3,12,2024,2024-12-03,0
Real Madrid,0,82.0,88.0,54.1,33.3,83.3,11.0,25.0,36.0,11.0,4.0,2.0,8.0,5,12,2024,2024-12-05,0
AS Monaco,1,69.0,62.0,50.0,19.0,75.0,15.0,18.0,33.0,9.0,6.0,1.0,11.0,12,12,2024,2024-12-12,0
FC Barcelona,0,63.0,56.0,53.1,23.3,66.7,13.0,21.0,34.0,10.0,4.0,3.0,17.0,17,12,2024,2024-12-17,0
Partizan Mozzart Bet Belgrade,0,81.0,87.0,46.7,45.2,68.8,7.0,20.0,27.0,22.0,7.0,3.0,11.0,27,12,2024,2024-12-27,0
Anadolu Efes Istanbul,1,84.0,100.0,38.7,46.2,77.4,10.0,28.0,38.0,19.0,6.0,1.0,9.0,3,1,2025,2025-01-03,1
ALBA Berlin,1,90.0,109.0,65.6,38.5,78.3,9.0,21.0,30.0,19.0,6.0,5.0,15.0,9,1,2025,2025-01-09,1
Crvena Zvezda Meridianbet Belgrade,0,96.0,107.0,60.0,48.6,68.2,6.0,17.0,23.0,22.0,8.0,1.0,6.0,15,1,2025,2025-01-15,1
Zalgiris Kaunas,1,98.0,120.0,53.3,46.2,93.8,14.0,21.0,35.0,16.0,5.0,4.0,13.0,17,1,2025,2025-01-17,1
Olympiacos Piraeus,0,87.0,94.0,65.6,34.4,92.3,9.0,27.0,36.0,21.0,3.0,2.0,13.0,24,1,2025,2025-01-24,1
Virtus Segafredo Bologna,1,95.0,109.0,66.7,58.6,66.7,5.0,22.0,27.0,20.0,7.0,2.0,15.0,31,1,2025,2025-01-31,1
Panathinaikos AKTOR Athens,0,90.0,103.0,50.0,37.5,100.0,11.0,26.0,37.0,22.0,6.0,6.0,12.0,4,2,2025,2025-02-04,1
Real Madrid,1,78.0,93.0,64.3,38.2,60.0,10.0,19.0,29.0,23.0,5.0,4.0,12.0,6,2,2025,2025-02-06,1
Maccabi Playtika Tel Aviv,0,76.0,69.0,41.4,26.7,88.9,21.0,17.0,38.0,17.0,10.0,4.0,15.0,27,2,2025,2025-02-27,0
Paris Basketball,0,87.0,101.0,48.4,30.8,77.8,30.0,20.0,50.0,17.0,2.0,1.0,12.0,3,3,2025,2025-03-03,1
EA7 Emporio Armani Milan,0,100.0,118.0,71.8,50.0,91.7,5.0,29.0,34.0,17.0,2.0,2.0,10.0,6,3,2025,2025-03-06,1
LDLC ASVEL Villeurbanne,1,92.0,121.0,63.9,40.0,83.3,12.0,26.0,38.0,25.0,7.0,5.0,11.0,13,3,2025,2025-03-13,1
AS Monaco,0,82.0,81.0,43.9,34.6,95.0,12.0,29.0,41.0,12.0,9.0,3.0,17.0,20,3,2025,2025-03-20,0
Paris Basketball,1,101.0,114.0,57.9,42.9,92.3,11.0,17.0,28.0,18.0,9.0,1.0,9.0,25,3,2025,2025-03-25,1
Baskonia Vitoria-Gasteiz,1,82.0,98.0,46.5,26.1,100.0,15.0,33.0,48.0,13.0,2.0,3.0,8.0,28,3,2025,2025-03-28,1
FC Barcelona,1,75.0,78.0,62.5,25.0,82.4,9.0,25.0,34.0,18.0,9.0,2.0,17.0,2,4,2025,2025-04-02,0
FC Bayern Munich,0,89.0,103.0,60.7,48.4,90.9,9.0,21.0,30.0,20.0,13.0,3.0,17.0,10,4,2025,2025-04-10,1
Paris Basketball,1,83.0,94.0,50.0,36.4,75.0,19.0,21.0,40.0,18.0,8.0,0.0,10.0,22,4,2025,2025-04-22,1
Paris Basketball,1,89.0,113.0,61.8,47.8,82.4,5.0,26.0,31.0,17.0,5.0,4.0,9.0,24,4,2025,2025-04-24,1
Paris Basketball,0,98.0,116.0,55.8,41.7,80.0,10.0,28.0,38.0,21.0,5.0,1.0,11.0,29,4,2025,2025-04-29,1
Panathinaikos AKTOR Athens,1,82.0,93.0,50.0,41.2,80.0,10.0,23.0,33.0,17.0,7.0,4.0,9.0,23,5,2025,2025-05-23,1
AS Monaco,0,81.0,90.0,42.1,40.9,84.6,14.0,24.0,38.0,8.0,8.0,2.0,9.0,25,5,2025,2025-05-25,1
