Opposing Team,IsHome,Points,Performance Index Rating,Two-point %,Three-point %,Free-throw %,Offensive rebounds,Defensive rebounds,Total rebounds,Assists,Steals,Blocks,Turnovers,Day,Month,Year,Date,target
Herbalife Gran Canaria,0,82.0,103.0,58.5,50.0,58.3,4.0,30.0,34.0,18.0,8.0,3.0,11.0,17,1,2019,2019-01-17,1
Olympiacos Piraeus,1,90.0,102.0,68.6,56.3,100.0,3.0,20.0,23.0,20.0,9.0,1.0,14.0,24,1,2019,2019-01-24,1
FC Bayern Munich,0,86.0,87.0,55.8,42.3,62.5,8.0,26.0,34.0,17.0,6.0,2.0,14.0,31,1,2019,2019-01-31,0
Panathinaikos OPAP Athens,1,85.0,101.0,65.6,41.4,70.0,8.0,25.0,33.0,23.0,7.0,2.0,12.0,8,2,2019,2019-02-08,1
Darussafaka Tekfen Istanbul,0,97.0,125.0,75.0,44.0,73.3,10.0,23.0,33.0,19.0,9.0,5.0,17.0,22,2,2019,2019-02-22,1
Anadolu Efes Istanbul,1,84.0,94.0,50.0,56.0,100.0,7.0,29.0,36.0,17.0,6.0,5.0,13.0,28,2,2019,2019-02-28,1
Real Madrid,0,86.0,80.0,55.3,50.0,82.4,7.0,20.0,27.0,14.0,3.0,0.0,10.0,7,3,2019,2019-03-07,0
FC Barcelona Lassa,1,88.0,93.0,42.1,44.7,91.3,11.0,21.0,32.0,19.0,5.0,5.0,15.0,15,3,2019,2019-03-15,1
Buducnost VOLI Podgorica,1,76.0,92.0,74.1,26.9,75.0,7.0,25.0,32.0,18.0,8.0,2.0,12.0,19,3,2019,2019-03-19,1
CSKA Moscow,0,68.0,74.0,58.1,26.1,82.4,9.0,17.0,26.0,13.0,10.0,2.0,12.0,21,3,2019,2019-03-21,0
AX Armani Exchange Olimpia Milan,0,104.0,110.0,60.0,48.1,92.0,10.0,17.0,27.0,16.0,6.0,3.0,9.0,28,3,2019,2019-03-28,1
Maccabi FOX Tel Aviv,1,78.0,88.0,50.0,40.0,78.3,5.0,34.0,39.0,10.0,3.0,4.0,10.0,5,4,2019,2019-04-05,0
Zalgiris Kaunas,1,76.0,84.0,59.3,41.4,66.7,2.0,25.0,27.0,17.0,6.0,5.0,11.0,16,4,2019,2019-04-16,0
Zalgiris Kaunas,1,80.0,86.0,52.9,50.0,85.0,5.0,16.0,21.0,15.0,5.0,1.0,12.0,18,4,2019,2019-04-18,0
Zalgiris Kaunas,0,66.0,76.0,44.0,29.4,82.4,16.0,19.0,35.0,13.0,12.0,3.0,11.0,23,4,2019,2019-04-23,0
Zalgiris Kaunas,0,99.0,122.0,71.0,68.2,90.9,2.0,17.0,19.0,24.0,12.0,3.0,11.0,25,4,2019,2019-04-25,1
Anadolu Efes Istanbul,1,73.0,74.0,50.0,28.6,81.3,6.0,19.0,25.0,20.0,5.0,2.0,5.0,17,5,2019,2019-05-17,0
Real Madrid,1,75.0,69.0,50.0,37.0,86.7,5.0,18.0,23.0,15.0,7.0,2.0,11.0,19,5,2019,2019-05-19,0
Real Madrid,0,77.0,76.0,51.5,38.1,90.5,11.0,20.0,31.0,12.0,5.0,1.0,17.0,3,10,2019,2019-10-03,0
Crvena Zvezda mts Belgrade,0,56.0,46.0,34.5,31.0,64.3,11.0,19.0,30.0,14.0,5.0,3.0,12.0,10,10,2019,2019-10-10,0
KIROLBET Baskonia Vitoria-Gasteiz,1,87.0,98.0,57.1,50.0,70.6,7.0,27.0,34.0,21.0,5.0,3.0,15.0,17,10,2019,2019-10-17,1
AX Armani Exchange Milan,0,74.0,78.0,48.8,27.3,76.2,11.0,20.0,31.0,16.0,3.0,1.0,8.0,25,10,2019,2019-10-25,0
Maccabi FOX Tel Aviv,0,55.0,40.0,26.5,47.6,58.3,7.0,24.0,31.0,11.0,9.0,1.0,17.0,30,10,2019,2019-10-30,0
Zalgiris Kaunas,1,76.0,67.0,47.4,38.1,61.5,10.0,13.0,23.0,15.0,7.0,12.0,12.0,1,11,2019,2019-11-01,0
FC Bayern Munich,1,90.0,109.0,66.7,50.0,93.3,3.0,17.0,20.0,24.0,6.0,3.0,9.0,8,11,2019,2019-11-08,1
CSKA Moscow,0,70.0,64.0,52.8,25.0,73.3,12.0,19.0,31.0,15.0,4.0,2.0,8.0,15,11,2019,2019-11-15,0
FC Barcelona,0,63.0,55.0,62.2,23.8,20.0,5.0,21.0,26.0,14.0,3.0,2.0,16.0,20,11,2019,2019-11-20,0
LDLC ASVEL Villeurbanne,0,88.0,120.0,59.5,69.2,85.0,7.0,28.0,35.0,21.0,3.0,5.0,16.0,22,11,2019,2019-11-22,1
Khimki Moscow Region,1,89.0,106.0,63.9,54.2,50.0,5.0,24.0,29.0,17.0,9.0,2.0,13.0,28,11,2019,2019-11-28,1
ALBA Berlin,1,107.0,123.0,62.2,42.3,90.3,9.0,24.0,33.0,23.0,5.0,1.0,16.0,6,12,2019,2019-12-06,1
